source_file,folder,snapshot,step,atomization_energy
6_0109_n1.xyz,01_6_0109_n1,1,10,-375.9242452499966
6_0109_n1.xyz,01_6_0109_n1,2,20,-375.3070577499966
6_0109_n1.xyz,01_6_0109_n1,3,30,-375.2640889999966
6_0109_n1.xyz,01_6_0109_n1,4,40,-374.9281514999966
6_0109_n1.xyz,01_6_0109_n1,5,50,-374.8461202499966
6_0109_n1.xyz,01_6_0109_n1,6,60,-374.6469014999966
6_0109_n1.xyz,01_6_0109_n1,7,70,-375.4984639999966
6_0109_n1.xyz,01_6_0109_n1,8,80,-374.8344014999966
6_0109_n1.xyz,01_6_0109_n1,9,90,-375.3070577499966
6_0109_n1.xyz,01_6_0109_n1,10,100,-374.9086202499966
6_0109_n1.xyz,01_6_0109_n1,11,110,-375.3812764999966
6_0109_n1.xyz,01_6_0109_n1,12,120,-375.0453389999966
6_0109_n1.xyz,01_6_0109_n1,13,130,-375.4594014999966
6_0109_n1.xyz,01_6_0109_n1,14,140,-374.7875264999966
6_0109_n1.xyz,01_6_0109_n1,15,150,-374.8656514999966
6_0109_n1.xyz,01_6_0109_n1,16,160,-375.0375264999966
6_0109_n1.xyz,01_6_0109_n1,17,170,-375.0062764999966
6_0109_n1.xyz,01_6_0109_n1,18,180,-375.2406514999966
6_0109_n1.xyz,01_6_0109_n1,19,190,-374.8187764999966
6_0109_n1.xyz,01_6_0109_n1,20,200,-375.0570577499966
6_0109_n1.xyz,01_6_0109_n1,21,210,-375.5023702499966
6_0109_n1.xyz,01_6_0109_n1,22,220,-375.3695577499966
6_0109_n1.xyz,01_6_0109_n1,23,230,-374.9515889999966
6_0109_n1.xyz,01_6_0109_n1,24,240,-375.3383077499966
6_0109_n1.xyz,01_6_0109_n1,25,250,-375.0922139999966
6_0109_n1.xyz,01_6_0109_n1,26,260,-375.4359639999966
6_0109_n1.xyz,01_6_0109_n1,27,270,-374.2211202499966
6_0109_n1.xyz,01_6_0109_n1,28,280,-374.9047139999966
6_0109_n1.xyz,01_6_0109_n1,29,290,-374.9086202499966
6_0109_n1.xyz,01_6_0109_n1,30,300,-375.5492452499966
6_0109_n1.xyz,01_6_0109_n1,31,310,-374.9320577499966
6_0109_n1.xyz,01_6_0109_n1,32,320,-374.5531514999966
6_0109_n1.xyz,01_6_0109_n1,33,330,-375.2445577499966
6_0109_n1.xyz,01_6_0109_n1,34,340,-374.8031514999966
6_0109_n1.xyz,01_6_0109_n1,35,350,-375.6273702499966
6_0109_n1.xyz,01_6_0109_n1,36,360,-374.9359639999966
6_0109_n1.xyz,01_6_0109_n1,37,370,-375.3539327499966
6_0109_n1.xyz,01_6_0109_n1,38,380,-374.8812764999966
6_0109_n1.xyz,01_6_0109_n1,39,390,-375.0414327499966
6_0109_n1.xyz,01_6_0109_n1,40,400,-374.9125264999966
6_0109_n1.xyz,01_6_0109_n1,41,410,-374.8031514999966
6_0109_n1.xyz,01_6_0109_n1,42,420,-375.0883077499966
6_0109_n1.xyz,01_6_0109_n1,43,430,-374.8461202499966
6_0109_n1.xyz,01_6_0109_n1,44,440,-375.0453389999966
6_0109_n1.xyz,01_6_0109_n1,45,450,-375.0961202499966
6_0109_n1.xyz,01_6_0109_n1,46,460,-374.7914327499966
6_0109_n1.xyz,01_6_0109_n1,47,470,-374.2875264999966
6_0109_n1.xyz,01_6_0109_n1,48,480,-375.2797139999966
6_0109_n1.xyz,01_6_0109_n1,49,490,-375.4476827499966
6_0109_n1.xyz,01_6_0109_n1,50,500,-374.7719014999966
6_0109_n1.xyz,01_6_0109_n1,51,510,-375.4203389999966
6_0109_n1.xyz,01_6_0109_n1,52,520,-375.1781514999966
6_0109_n1.xyz,01_6_0109_n1,53,530,-374.8383077499966
6_0109_n1.xyz,01_6_0109_n1,54,540,-375.1976827499966
6_0109_n1.xyz,01_6_0109_n1,55,550,-375.0375264999966
6_0109_n1.xyz,01_6_0109_n1,56,560,-374.9047139999966
6_0109_n1.xyz,01_6_0109_n1,57,570,-374.3461202499966
6_0109_n1.xyz,01_6_0109_n1,58,580,-375.2484639999966
6_0109_n1.xyz,01_6_0109_n1,59,590,-374.8500264999966
6_0109_n1.xyz,01_6_0109_n1,60,600,-374.6625264999966
6_0109_n1.xyz,01_6_0109_n1,61,610,-374.9828389999966
6_0109_n1.xyz,01_6_0109_n1,62,620,-375.1937764999966
6_0109_n1.xyz,01_6_0109_n1,63,630,-375.2406514999966
6_0109_n1.xyz,01_6_0109_n1,64,640,-375.4476827499966
